id,name,temperature,diameter,distanceFromEarth,imageURL,type,constellation,notableFeature,slug_id,mass,shortDescription,discovered,hostStar,featured,contellation
"Earth","Earth","~15°C","1 Earth radius","0 km","https://cdn.mos.cms.futurecdn.net/v2/t:0,l:160,cw:960,ch:720,q:80,w:960/FaWKMJQnr2PFcYCmEyfiTm.jpg","Terrestrial","N/A","Only known planet with life","earth","1 Earth mass","Our home planet, rich in water and life.","Known since antiquity","Sun","true",""
"HD_189733_b","HD 189733 b","~1,000°C","~1.14 Jupiter radii","64 light years","https://www.nasa.gov/wp-content/uploads/2023/03/heic1312a.jpg","Hot Jupiter","Vulpecula","Glass rain and extreme winds","hd-189733-b","1.13 Jupiter masses","A deep blue planet where winds reach extreme speeds and glass rains sideways.","2005","HD 189733","true",""
"Jupiter","Jupiter","~-145°C","11.2 Earth radii","628 million km","https://upload.wikimedia.org/wikipedia/commons/e/e2/Jupiter_OPAL_2024.png","Gas Giant","N/A","Great Red Spot storm","jupiter","317.8 Earth masses","The largest planet in the Solar System, a massive gas giant.","Known since antiquity","Sun","true",""
"Kepler-22b","Kepler-22b","~22°C (estimated)","~2.4 times Earth","600 light years","https://assets.science.nasa.gov/dynamicimage/assets/science/astro/exo-explore/2024/03/Kepler22b.jpg?w=1600&h=900&fit=clip&crop=faces%2Cfocalpoint","Super-Earth","Cygnus","Located in the habitable zone","kepler-22b","Unknown","One of the first exoplanets found in the habitable zone of its star.","2011","Kepler-22","true",""
"Mars","Mars","~-60°C","0.53 Earth radii","225 million km","https://space-facts.com/wp-content/uploads/mars-v2.jpg","Terrestrial","N/A","Home to Olympus Mons, the largest volcano","mars","0.107 Earth masses","A cold desert world with signs of ancient water.","Known since antiquity","Sun","true",""
"Mercury","Mercury","-173°C to 427°C","0.38 Earth radii","77 million km","https://upload.wikimedia.org/wikipedia/commons/4/4a/Mercury_in_true_color.jpg","Terrestrial","N/A""","Closest planet to the Sun","mercury","0.055 Earth masses","A small rocky planet with extreme temperature variations.","Known since antiquity","Sun","false",""
"Neptune","Neptune","~-214°C","3.9 Earth radii","4.3 billion km","https://science.nasa.gov/wp-content/uploads/2024/03/pia01492-neptune-full-disk-16x9-1.jpg","Ice Giant","N/A","Strongest winds in the Solar System","neptune","17 Earth masses","A distant blue world with extreme weather.","1846","Sun","false",""
"Pluto","Pluto","~-229°C","0.18 Earth radii","5.9 billion km","https://space-facts.com/wp-content/uploads/pluto.jpg","Dwarf Planet","N/A","Heart-shaped glacier (Tombaugh Regio)","pluto","0.0022 Earth masses","A distant icy dwarf planet with a complex surface and thin atmosphere.","1930","Sun","true",""
"Proxima_Centauri_b","Proxima Centauri b","Potentially habitable","Similar to Earth","4.24 light years","https://ichef.bbci.co.uk/ace/ws/800/cpsprodpb/15F7D/production/_116318998_capture.png.webp","Terrestrial","Centaurus","Closest exoplanet to Earth","proxima-centauri-b","1.27 Earth masses","The closest known exoplanet to our solar system, orbiting Proxima Centauri.","2016","Proxima Centauri","true",""
"Saturn","Saturn","~-178°C","9.45 Earth radii","1.2 billion km","https://upload.wikimedia.org/wikipedia/commons/c/c7/Saturn_during_Equinox.jpg","Gas Giant","N/A","Extensive ring system","saturn","95 Earth masses","A gas giant famous for its stunning rings.","Known since antiquity","Sun","true",""
"TRAPPIST-1e","TRAPPIST-1e","Potentially habitable","Similar to Earth","40 light years","https://upload.wikimedia.org/wikipedia/commons/5/5f/TRAPPIST-1e_Artist%27s_Impression.png","Terrestrial","Aquarius","Part of a multi-planet habitable system","trappist-1e","0.77 Earth masses","One of the most promising Earth-like planets in a nearby star system.","2017","TRAPPIST-1","true",""
"Uranus","Uranus","~-224°C","4 Earth radii","2.6 billion km","https://upload.wikimedia.org/wikipedia/commons/6/69/Uranus_Voyager2_color_calibrated.png","Ice Giant","N/A","Rotates on its side","uranus","14.5 Earth masses","An icy giant with a tilted rotation axis.","1781","Sun","false",""
"Venus","Venus","~465°C","0.95 Earth radii","38 million km","https://assets.science.nasa.gov/dynamicimage/assets/science/cds/general/images/2024/03/venus-mariner-10-pia23791-fig2.jpg?w=1096&h=1096&fit=clip&crop=faces%2Cfocalpoint","Terrestrial","","Hottest planet in the Solar System","venus","0.815 Earth masses","A toxic world with a thick atmosphere and extreme greenhouse effect.","Known since antiquity","Sun","true","N/A"
"WASP-12b","WASP-12b","~2,500°C","~1.9 Jupiter radii","1,400 light years","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHX6HMQgkLBynrXaF1dA6tSiAaYctzmc9nPQ&s","Hot Jupiter","Auriga","Being consumed by its star","wasp-12b","1.4 Jupiter masses","A planet so close to its star that it is being torn apart.","2008","WASP-12","false",""
